chr	start	end	strand	cytoband	Ensembl gene ID	hugo	copy category	copy change	avg cna	avg cna by gene	breakpoint	manually curated homd	loh	loh_ratio	intepreted expression status	RPKM	SARC percentile	SARC kIQR	FC mean Bodymap	avg TCGA percentile	avg TCGA kIQR	avg TCGA norm percentile	avg TCGA norm kIQR	UCEC norm percentile	UCEC norm kIQR	cancer gene type
12	10771538	10826917	-1	p13.2	ENSG00000060140	STYK1	Neutral	0	0.01	0.02	0	0	HET	0.51		0.11	63	0.18	-1.35	29	-0.25	24	-0.25	21	-0.34	
12	861759	1020618	1	p13.33	ENSG00000060237	WNK1	Neutral	0	0.01	0	0	0	HET	0.51		17.87	69	0.39	-1.55	47	-0.06	42	-0.18	79	1.24	
10	70480769	70552134	1	q21.3	ENSG00000060339	CCAR1	Neutral	0	0.02	-0.01	0	0	HET	0.49		9.73	38	-0.23	-1.34	16	-0.63	27	-0.4	21	-0.54	putative tumour suppressor
20	61436187	61445352	1	q13.33	ENSG00000060491	OGFR	Neutral	0	0.02	0	0	0	HET	0.52		10.01	11	-0.73	1.29	22	-0.49	52	0.05	12	-0.69	
19	3136191	3163767	1	p13.3	ENSG00000060558	GNA15	Neutral	0	0.02	0.03	0	0	HET	0.48		5.84	65	0.29	2.1	59	0.14	67	0.43	100	4.9	
19	4153629	4173050	1	p13.3	ENSG00000060566	CREB3L3	Neutral	0	0.02	-0.03	0	0	HET	0.47		0.06	88	1.73	-20.58	70	0.44	64	0.08	92	6.82	
1	27113963	27124889	1	p36.11	ENSG00000060642	PIGV	Loss	-1	-0.21	-0.21	0	0	HET	0.29		4.7	56	0.08	1.08	31	-0.32	12	-0.72	12	-0.71	
1	29563028	29653325	1	p35.3	ENSG00000060656	PTPRU	Loss	-1	-0.21	-0.18	0	0	HET	0.4		2.93	49	-0.02	-1.23	32	-0.27	28	-0.3	4	-0.84	putative oncogene
15	90443159	90456188	-1	q26.1	ENSG00000242498	ARPIN	Gain	1	0.23	0.18	0	0	HET	0.39	up	14.25	96	2.1	2.11	97	1.98	99	2.35	100	3.54	
12	130880682	131200826	-1	q24.33	ENSG00000060709	RIMBP2	Neutral	0	0.01	0.03	0	0	HET	0.5		1.18	92	6.27	1.4	90	3.41	94	2.66	71	0.4	
1	103342023	103574052	-1	p21.1	ENSG00000060718	COL11A1	Homozygous Loss	-1	-0.22	-0.22	0	1	HET	0.34		7.54	75	0.91	7.06	79	1.24	100	113.77	100	118.23	
11	32914724	33014862	1	p13	ENSG00000060749	QSER1	Neutral	0	0.02	0.01	0	0	HET	0.53		5.05	69	0.35	1.05	58	0.16	75	0.59	58	0.14	
6	166778407	166796486	-1	q27	ENSG00000060762	MPC1	Neutral	0	0.01	0.01	0	0	HET	0.54		21.12	95	1.71	-2.58	86	1.42	63	0.29	96	3.9	
3	38164201	38178733	-1	p22.2	ENSG00000060971	ACAA1	Neutral	0	0.01	0.05	0	0	HET	0.61		7.3	0	-1.36	-1.23	3	-0.93	0	-0.84	0	-2.48	
12	24964295	25102393	-1	p12.1	ENSG00000060982	BCAT1	Neutral	0	0.01	0.03	0	0	HET	0.48		4.19	32	-0.28	1.08	69	0.43	82	1.32	33	-0.26	
12	48176505	48226915	-1	q13.11	ENSG00000061273	HDAC7	Neutral	0	0.01	0.05	0	0	HET	0.52		12.93	6	-0.72	1.79	33	-0.3	37	-0.28	0	-2.47	
8	20103676	20161474	-1	p21.3	ENSG00000061337	LZTS1	Neutral	0	0.02	0.04	0	0	HET	0.49		2.99	41	-0.14	1.52	65	0.29	82	1.07	100	1.51	putative tumour suppressor
5	122424816	122523745	1	q23.2	ENSG00000061455	PRDM6	Neutral	0	0.01	0.03	0	0	HET	0.51		2.14	64	0.38	1.21	97	3.61	91	2.13	79	2.32	
5	137419581	137428054	1	q31.2	ENSG00000061492	WNT8A	Neutral	0	0.01	0.02	0	0	HET	0.46		0	43		-1.04	40		42		35	0	
20	34203814	34208971	1	q11.22	ENSG00000061656	SPAG4	Neutral	0	0.02	-0.02	0	0	HET	0.52		0.61	26	-0.36	-1.61	17	-0.37	26	-0.36	4	-0.54	
2	183789605	183903586	-1	q32.1	ENSG00000061676	NCKAP1	Neutral	0	0.01	0.02	0	0	HET	0.57		38.51	68	0.33	-1.17	45	-0.1	39	-0.24	58	0.08	putative tumour suppressor
12	27863706	27909228	1	p11.22	ENSG00000061794	MRPS35	Neutral	0	0.01	0.03	0	0	HET	0.56		19.25	34	-0.27	-1.36	10	-0.65	13	-0.49	12	-1.02	
4	156680144	156728743	1	q32.1	ENSG00000061918	GUCY1B3	Neutral	0	0.01	0.01	0	0	HET	0.49		17.6	88	1.17	1.33	93	2.52	97	2.42	100	2.36	
12	132195626	132284282	1	q24.33	ENSG00000061936	SFSWAP	Neutral	0	0.01	0.01	0	0	HET	0.52		4.56	12	-0.69	1.21	15	-0.62	42	-0.13	4	-1.56	
3	195590235	195638816	-1	q29	ENSG00000061938	TNK2	Neutral	0	0.01	0.03	0	0	HET	0.58		3.96	35	-0.27	1.29	23	-0.4	56	0.15	17	-0.43	
12	62860597	62991363	1	q14.1	ENSG00000061987	MON2	Neutral	0	0.01	0.01	0	0	HET	0.53		4.93	88	1.11	1.06	73	0.49	65	0.33	83	0.61	
16	68670092	68756519	1	q22.1	ENSG00000062038	CDH3	Loss	-1	-0.22	-0.24	0	0	HET	0.58		25.21	83	1.78	5.57	68	0.46	85	1.42	79	0.96	
X	2959512	3030767	1	p22.33	ENSG00000062096	ARSF	Neutral	0	0.02	0.02	0	0	HET	0.53		0.02	44	-0.07	-1.14	59	0.1	35	-0.05	71	0.85	
5	56469775	56560505	1	q11.2	ENSG00000062194	GPBP1	Neutral	0	0.01	0.02	0	0	HET	0.5		13.33	3	-1.08	-1.69	6	-1	11	-0.87	0	-2.08	
11	75479778	75512579	1	q13.5	ENSG00000062282	DGAT2	Neutral	0	0.02	0.03	0	0	HET	0.29		35.38	98	8.34	-1.14	94	3.38	81	1.76	100	38.51	
19	44830708	44905774	-1	q13.31	ENSG00000062370	ZNF112	Neutral	0	0.02	0.01	0	0	HET	0.47		2.34	83	0.86	1.35	86	0.88	85	0.88	71	0.49	
12	56665483	56694176	-1	q13.3	ENSG00000062485	CS	Neutral	0	0.01	-0.01	0	0	HET	0.51		24.27	17	-0.61	-1.21	4	-0.99	9	-0.81	0	-1.66	
15	41795836	41806085	-1	q15.1	ENSG00000062524	LTK	Loss	-1	-0.22	-0.21	0	0	HET	0.65		0.09	38	-0.11	-1.44	36	-0.13	24	-0.29	58	0.1	
7	43906157	43909492	-1	p13	ENSG00000062582	MRPS24	Neutral	0	0.01	0.05	0	0	HET	0.46		17.44	0	-1.28	1.15	3	-1.23	0	-1.31	0	-2.17	
20	44994688	45061704	-1	q13.12	ENSG00000062598	ELMO2	Neutral	0	0.02	0.03	0	0	HET	0.47		14.97	94	1.92	1.81	92	1.54	99	3.17	100	5.08	
10	88195013	88281572	-1	q23.2	ENSG00000062650	WAPAL	Neutral	0	0.02	-0.01	0	0	HET	0.47		8.13	69	0.45	-2.02	37	-0.23	28	-0.45	50	-0.09	
17	57784553	57919616	1	q23.1	ENSG00000062716	VMP1	Neutral	0	0.02	-0.01	0	0	HET	0.54		22.81	48	-0.05	1.23	33	-0.3	62	0.26	83	1.25	
17	58520520	58603580	-1	q23.2	ENSG00000062725	APPBP2	Neutral	0	0.02	0.01	0	0	HET	0.48		6.69	49	-0.04	-1.19	45	-0.08	35	-0.3	8	-0.99	
19	50887593	50921270	1	q13.33	ENSG00000062822	POLD1	Neutral	0	0.02	0.05	0	0	HET	0.44		5.59	15	-0.55	1.82	27	-0.37	69	0.39	29	-0.33	
17	27281919	27333458	-1	q11.2	ENSG00000063015	SEZ6	Neutral	0	0.02	0.06	0	0	HET	0.56		0.1	50	0	-1.18	50	0	43	-0.09	58	0.32	
12	53399942	53435993	1	q13.13	ENSG00000063046	EIF4B	Neutral	0	0.01	0.09	0	0	HET	0.45		33.9	10	-0.73	-2.36	3	-0.91	2	-1.17	0	-2.18	
19	49792897	49828474	-1	q13.33	ENSG00000063127	SLC6A16	Neutral	0	0.02	0.02	0	0	HET	0.5		1.42	93	3.3	-1.67	92	2.62	88	1.31	83	2.07	
19	48111453	48206534	1	q13.33	ENSG00000063169	GLTSCR1	Neutral	0	0.02	0	0	0	HET	0.5		4.02	85	0.82	1.74	75	0.61	91	1.55	58	0.32	putative tumour suppressor
19	49122548	49133973	1	q13.33	ENSG00000063176	SPHK2	Neutral	0	0.02	0.11	0	0	HET	0.5		3.87	27	-0.42	1.44	36	-0.24	46	-0.08	29	-0.4	
3	57302375	57326710	-1	p14.3	ENSG00000239388	ASB14	Neutral	0	0.01	-0.01	0	0	HET	0.45	down	0.95	0	-1.15	-2.91	0	-0.98	0	-1.07	0	-1.8	
19	49141272	49149451	-1	q13.33	ENSG00000063180	CA11	Neutral	0	0.02	0.11	0	0	HET	0.5		30.53	94	2.91	1.97	91	2.68	97	4.08	42	-0.13	
19	55964352	55973710	-1	q13.42	ENSG00000063241	ISOC2	Neutral	0	0.02	0.04	0	0	HET	0.52		6.67	2	-0.97	1.71	2	-1.05	0	-0.88	0	-1.53	
19	56165512	56186081	1	q13.42	ENSG00000063244	U2AF2	Neutral	0	0.02	0.1	0	0	HET	0.43		28.85	5	-0.97	1.42	5	-0.99	24	-0.5	0	-1.51	
19	56186592	56221224	1	q13.42	ENSG00000063245	EPN1	Neutral	0	0.02	0.06	0	0	HET	0.48		31.35	19	-0.6	1.76	18	-0.58	35	-0.23	21	-0.85	
19	39881963	39891201	1	q13.2	ENSG00000063322	MED29	Neutral	0	0.02	0.04	0	0	HET	0.42		17.94	33	-0.4	1.22	32	-0.33	39	-0.16	4	-1.01	
5	304291	438406	1	p15.33	ENSG00000063438	AHRR	Neutral	0	0.01	0.04	0	0	HET	0.52		0.74	80	1.2	1.28	84	1.26	89	2.01	75	0.77	putative tumour suppressor
22	19136089	19137796	-1	q11.21	ENSG00000063515	GSC2	Neutral	0	0.03	0.08	0	0	HET	0.34		0	49		-1.11	48		50		50		
X	152599613	152618384	1	q28	ENSG00000063587	ZNF275	Gain	1	0.25	0.25	0	0	HET	0.41		3.66	47	-0.05	-1.29	41	-0.14	41	-0.13	0	-0.81	
X	149861435	149933576	1	q28	ENSG00000063601	MTMR1	Gain	1	0.25	0.27	0	0	HET	0.56		3.72	39	-0.19	-1.21	10	-0.78	15	-0.78	29	-0.24	
2	241375088	241407493	1	q37.3	ENSG00000063660	GPC1	Neutral	0	0.01	0.05	0	0	HET	0.6		18.89	26	-0.33	2.19	42	-0.13	70	0.46	54	0.14	
14	78266426	78401355	1	q24.3	ENSG00000063761	ADCK1	Neutral	0	0.02	0.02	0	0	HET	0.52		2.65	62	0.26	1.76	47	-0.06	63	0.27	54	0.1	
16	1845621	1877195	-1	p13.3	ENSG00000063854	HAGH	Neutral	0	0.02	0.05	0	0	HET	0.5		5.32	5	-0.94	-1.04	5	-0.83	2	-0.91	0	-2.46	
4	2463947	2627047	1	p16.3	ENSG00000063978	RNF4	Neutral	0	0.01	0.01	0	0	HET	0.52		10.03	3	-1.15	1.19	8	-1.04	13	-1.1	0	-2.64	
2	202098166	202152434	1	q33.1	ENSG00000064012	CASP8	Neutral	0	0.01	0.02	0	0	HET	0.51		4.7	92	1.36	1.2	55	0.1	79	0.55	92	1.47	tumour suppressor
4	41361624	41702061	1	p13	ENSG00000064042	LIMCH1	Neutral	0	0.01	0	0	0	HET	0.5		3.34	47	-0.06	-4.11	43	-0.11	24	-0.62	46	-0.05	
12	27058114	27091259	-1	p11.23	ENSG00000064102	ASUN	Neutral	0	0.01	0	0	0	HET	0.57		10.9	68	0.43	1.27	66	0.32	99	1.97	96	1.3	
12	27126128	27167367	-1	p11.23	ENSG00000064115	TM7SF3	Neutral	0	0.01	0.02	0	0	HET	0.59		10.06	53	0.04	-1.01	12	-0.58	6	-0.78	33	-0.51	
17	48067369	48072588	-1	q21.33	ENSG00000064195	DLX3	Neutral	0	0.02	-0.02	0	0	HET	0.49		0.08	49	-0.02	-1.09	34	-0.12	25	-0.27	42	-0.17	
11	124543694	124567414	1	q24.2	ENSG00000064199	SPA17	Neutral	0	0.02	0.04	0	0	HET	0.47		0.99	3	-0.82	-2.18	4	-0.78	6	-0.89	0	-0.72	
11	2323227	2339430	1	p15.5	ENSG00000064201	TSPAN32	Neutral	0	0.02	0.02	0	0	HET	0.56		1.26	92	2.37	1.65	94	3.97	95	4.65	96	4.16	putative tumour suppressor
20	43343485	43357150	1	q13.12	ENSG00000064205	WISP2	Neutral	0	0.02	0.03	0	0	HET	0.44		24.15	76	0.84	2.79	97	12.51	90	2.31	83	2.18	
9	976964	991731	1	p24.3	ENSG00000064218	DMRT3	Neutral	0	0.02	0.04	0	0	HET	0.53		0.77	72	0.52	1.06	86	2.52	83	2.36	96	10.91	
3	98451080	98540045	1	q12.1	ENSG00000064225	ST3GAL6	Neutral	0	0.01	0.02	0	0	HET	0.54		2.4	55	0.07	-1.16	55	0.08	34	-0.25	54	0.12	
16	84402133	84497793	1	q24.1	ENSG00000064270	ATP2C2	Loss	-1	-0.21	-0.21	0	0	HET	0.62		0.16	5	-0.64	-1.39	2	-0.2	2	-0.31	4	-0.47	
17	47572655	47592379	1	q21.33	ENSG00000064300	NGFR	Neutral	0	0.02	0.05	0	0	HET	0.55		20.84	83	1.56	2.65	92	2.55	92	2.33	96	3.04	putative tumour suppressor
8	37962760	38001594	1	p11.23	ENSG00000129691	ASH2L	Neutral	0	0.02	0.03	0	0	HET	0.46	down	8	1	-1.08	-1.4	6	-0.97	7	-1.73	0	-3.43	
8	120743015	120845103	-1	q24.12	ENSG00000064313	TAF2	Neutral	0	0.02	0.05	0	0	HET	0.53		4.85	42	-0.15	-1.07	25	-0.41	38	-0.24	33	-0.52	
7	139246316	139477577	-1	q34	ENSG00000064393	HIPK2	Neutral	0	0.01	0.01	0	0	HET	0.55		5.29	79	0.85	-2.74	43	-0.11	28	-0.32	92	1.2	putative tumour suppressor
7	128594948	128695198	-1	q32.1	ENSG00000064419	TNPO3	Neutral	0	0.01	0	0	0	HET	0.52		9.4	38	-0.24	-1.52	23	-0.51	22	-0.6	46	-0.11	
19	19256376	19302937	-1	p13.11	ENSG00000064489	MEF2BNB-MEF2B	Neutral	0	0.01	0.02	0	0	HET	0.48		4.57	91	1.32	1.36	96	3.1	100	5.82	100	2.01	
19	19303008	19312678	1	p13.11	ENSG00000064490	RFXANK	Neutral	0	0.01	0.04	0	0	HET	0.45		10.3	0	-1.15	1.48	2	-1	10	-1.03	0	-1.07	
19	19229978	19249322	-1	p13.11	ENSG00000064545	TMEM161A	Neutral	0	0.01	0	0	0	HET	0.4		7.37	3	-0.89	1.88	6	-0.78	11	-0.78	0	-1.66	
19	19734477	19739739	-1	p13.11	ENSG00000064547	LPAR2	Neutral	0	0.01	0.02	0	0	HET	0.54		2.34	59	0.2	1.18	15	-0.63	27	-0.44	33	-0.34	
20	44519591	44527459	1	q13.12	ENSG00000064601	CTSA	Neutral	0	0.02	0.01	0	0	HET	0.55		73.86	25	-0.46	2.04	36	-0.21	56	0.13	92	1.4	
19	19101697	19144380	-1	p13.11	ENSG00000064607	SUGP2	Neutral	0	0.01	0.04	0	0	HET	0.48		12.91	64	0.29	1.09	70	0.43	85	0.93	88	0.95	
5	127419458	127525380	1	q23.3	ENSG00000064651	SLC12A2	Neutral	0	0.01	0.04	0	0	HET	0.45		1.86	31	-0.35	-2.87	21	-0.32	13	-0.26	12	-0.37	
5	122179134	122365049	1	q23.2	ENSG00000064652	SNX24	Neutral	0	0.01	0	0	0	HET	0.5		3.46	27	-0.36	-1.12	24	-0.47	25	-0.47	62	0.34	
20	45523263	45817492	1	q13.12	ENSG00000064655	EYA2	Neutral	0	0.02	0.02	0	0	HET	0.49		2.07	30	-0.27	-1.27	50	-0.01	33	-0.23	8	-0.57	
19	1026212	1039068	1	p13.3	ENSG00000064666	CNN2	Neutral	0	0.02	0.03	0	0	HET	0.43		37.74	16	-0.63	1.16	36	-0.28	30	-0.38	8	-0.65	
19	1040102	1065571	1	p13.3	ENSG00000064687	ABCA7	Neutral	0	0.02	0.02	0	0	HET	0.43		1.65	51	0.02	1.08	33	-0.28	38	-0.19	75	0.73	
7	150745379	150749843	1	q36.1	ENSG00000213199	ASIC3	Neutral	0	0.01	0.05	0	0	HET	0.45	up	4.29	94	3.13	3.61	94	4.56	100	22.91	100	3.35	
1	112297867	112310638	1	p13.2	ENSG00000064703	DDX20	Loss	-1	-0.22	-0.23	0	0	HET	0.7		2.77	32	-0.38	-1.81	25	-0.43	31	-0.34	0	-2.35	
15	83685174	83736106	-1	q25.2	ENSG00000064726	BTBD1	Gain	1	0.23	0.23	0	0	HET	0.52		15.9	21	-0.54	-2.09	20	-0.54	18	-0.72	25	-0.36	
12	29302036	29493913	1	p11.22	ENSG00000064763	FAR2	Neutral	0	0.01	0	0	0	HET	0.53		2.71	26	-0.39	-1.21	44	-0.09	47	-0.04	46	-0.11	
20	52553316	52687304	-1	q13.2	ENSG00000064787	BCAS1	Neutral	0	0.02	0.04	0	0	HET	0.48		0.14	53	0.02	-4.23	35	-0.06	20	-0.22	25	-0.26	
3	87308554	87325737	-1	p11.2	ENSG00000064835	POU1F1	Neutral	0	0.01	0.04	0	0	HET	0.56		0.05	93	3.03	-1.04	96	3.26	96	2.67	92	2.29	
1	111743393	111786062	1	p13.3	ENSG00000064886	CHI3L2	Loss	-1	-0.22	-0.2	0	0	HET	0.37		1.61	50	-0.01	-1.6	46	-0.04	45	-0.05	92	2.03	
19	1107636	1174282	-1	p13.3	ENSG00000064932	SBNO2	Neutral	0	0.02	0.02	0	0	HET	0.48		13.43	56	0.1	1.82	47	-0.06	77	0.63	75	0.74	
2	190649107	190742355	1	q32.2	ENSG00000064933	PMS1	Neutral	0	0.01	0.02	0	0	HET	0.52		3.52	40	-0.16	-1.17	44	-0.1	69	0.38	21	-0.83	tumour suppressor
19	3572775	3579086	1	p13.3	ENSG00000064961	HMG20B	Neutral	0	0.02	-0.01	0	0	HET	0.45		16.87	2	-0.81	1.94	14	-0.53	28	-0.35	0	-0.89	
2	188207856	188313187	-1	q32.1	ENSG00000064989	CALCRL	Neutral	0	0.01	0.02	0	0	HET	0.45		15.49	96	2.63	-1.08	91	2.38	83	1.02	62	0.41	
6	34845555	34855866	-1	p21.31	ENSG00000064995	TAF11	Neutral	0	0.01	0.01	0	0	HET	0.49		17.88	39	-0.19	1.17	45	-0.09	78	0.62	33	-0.46	
6	34857042	35059179	1	p21.31	ENSG00000064999	ANKS1A	Neutral	0	0.01	0	0	0	HET	0.51		8.77	80	0.83	1.12	70	0.41	48	-0.03	79	0.72	
19	2100988	2164464	-1	p13.3	ENSG00000065000	AP3D1	Neutral	0	0.02	0.05	0	0	HET	0.5		15.13	2	-1.1	1.11	3	-1.28	9	-1.3	0	-2.02	
6	35226686	35263762	1	p21.31	ENSG00000065029	ZNF76	Neutral	0	0.01	0.04	0	0	HET	0.48		3.9	16	-0.55	1.06	9	-0.82	14	-0.85	0	-0.92	
16	2075357	2089027	1	p13.3	ENSG00000065054	SLC9A3R2	Neutral	0	0.02	0.01	0	0	HET	0.45		22.16	54	0.07	1.46	46	-0.07	19	-0.53	0	-1.91	
16	2089816	2097867	-1	p13.3	ENSG00000065057	NTHL1	Neutral	0	0.02	0.01	0	0	HET	0.45		4.08	1	-1	1.64	4	-0.82	5	-0.85	0	-1.32	
6	34759857	34850915	1	p21.31	ENSG00000065060	UHRF1BP1	Neutral	0	0.01	-0.01	0	0	HET	0.54		3.79	90	1.22	-1.18	59	0.19	78	0.49	100	2.64	
1	110091233	110136975	1	p13.3	ENSG00000065135	GNAI3	Loss	-1	-0.22	-0.22	0	0	HET	0.7		19.93	32	-0.33	-1.57	43	-0.12	62	0.21	62	0.31	
13	98605742	98676551	1	q32.2	ENSG00000065150	IPO5	Neutral	0	0.01	0.02	0	0	HET	0.49		21.63	41	-0.18	-1.41	49	-0.01	49	-0.03	8	-0.9	
10	126085872	126107545	-1	q26.13	ENSG00000065154	OAT	Neutral	0	0.02	0.07	0	0	HET	0.42		27.14	76	0.54	-1.01	67	0.36	50	-0.01	38	-0.23	
1	118472343	118503049	1	p12	ENSG00000065183	WDR3	Loss	-1	-0.22	-0.19	0	0	HET	0.36		4.78	18	-0.63	-1.71	11	-0.7	15	-0.59	0	-1.41	
1	89149905	89301938	1	p22.2	ENSG00000065243	PKN2	Neutral	0	0.01	0.01	0	0	HET	0.47		8.74	73	0.49	-1.26	62	0.22	48	-0.03	46	-0.15	
19	983174	994556	1	p13.3	ENSG00000065268	WDR18	Neutral	0	0.02	0.04	0	0	HET	0.43		7.39	1	-0.96	1.57	2	-0.99	5	-0.85	0	-1.52	
6	52362200	52441713	-1	p12.2	ENSG00000065308	TRAM2	Neutral	0	0.01	0	0	0	HET	0.49		14.28	54	0.07	1.52	91	1.26	95	1.39	100	3.16	
17	8924859	9147317	1	p13.1	ENSG00000065320	NTN1	Neutral	0	0.02	0.02	0	0	HET	0.49		6.39	59	0.19	1.85	77	0.9	84	1.18	25	-0.26	
17	9725523	9795419	1	p13.1	ENSG00000065325	GLP2R	Neutral	0	0.02	0.02	0	0	HET	0.5		0.12	83	2.38	-2.06	91	5.68	65	0.33	83	1.11	
10	13203554	13253104	1	p13	ENSG00000065328	MCM10	Neutral	0	0.01	0.02	0	0	HET	0.45		0.38	12	-0.51	1.07	26	-0.37	77	0.89	83	5.03	
12	56321103	56347811	1	q13.2	ENSG00000065357	DGKA	Neutral	0	0.01	0.02	0	0	HET	0.58		3.54	54	0.1	-1.05	42	-0.1	56	0.12	29	-0.18	
12	56473641	56497289	1	q13.2	ENSG00000065361	ERBB3	Neutral	0	0.01	0.07	0	0	HET	0.49		0.22	75	0.69	-4.89	10	-0.54	1	-0.94	4	-0.94	putative oncogene
3	123687368	123711025	-1	q21.1	ENSG00000065371	ROPN1	Neutral	0	0.01	0	0	0	HET	0.48		0.01	51	0.01	-1.95	42	-0.09	39	-0.11	58	0.31	
2	197831741	198175897	-1	q33.1	ENSG00000065413	ANKRD44	Neutral	0	0.01	0	0	0	HET	0.53		0.8	81	0.78	-1.72	74	0.63	70	0.42	96	2.75	
3	112251356	112280893	-1	q13.2	ENSG00000144848	ATG3	Neutral	0	0.01	0.01	0	0	HET	0.54	down	6.97	4	-1.04	-1.66	4	-1.08	7	-1.58	0	-4.03	
16	75630879	75657198	-1	q23.1	ENSG00000065457	ADAT1	Loss	-1	-0.21	-0.21	0	0	HET	0.35		3.17	70	0.46	-1.02	38	-0.22	39	-0.21	92	2.88	
3	122785909	122944074	1	q21.1	ENSG00000065485	PDIA5	Neutral	0	0.01	0.02	0	0	HET	0.51		9.5	11	-0.57	1.54	23	-0.45	16	-0.5	4	-0.98	
6	37225548	37300746	1	p21.2	ENSG00000065491	TBC1D22B	Neutral	0	0.01	0.03	0	0	HET	0.57		5.64	76	0.6	1.12	54	0.07	67	0.29	83	1.07	
3	120315156	120321347	1	q13.33	ENSG00000065518	NDUFB4	Neutral	0	0.01	0.01	0	0	HET	0.56		45.98	44	-0.12	1.3	23	-0.43	38	-0.23	17	-0.4	
1	16174359	16266955	1	p36.21	ENSG00000065526	SPEN	Loss	-1	-0.21	-0.24	0	0	HET	0.49		6.17	51	0.01	-1.54	32	-0.32	28	-0.43	38	-0.43	
3	123328896	123603178	-1	q21.1	ENSG00000065534	MYLK	Neutral	0	0.01	0.03	0	0	HET	0.48		118.11	71	0.49	3.76	98	10.69	87	2.01	62	0.2	
2	187350883	187374090	1	q32.1	ENSG00000065548	ZC3H15	Neutral	0	0.01	0.03	0	0	HET	0.44		23.5	53	0.07	-1.37	22	-0.49	34	-0.37	21	-0.97	
17	11924141	12047147	1	p12	ENSG00000065559	MAP2K4	Neutral	0	0.02	0.04	0	0	HET	0.42		7.44	48	-0.06	-1.17	32	-0.32	15	-0.73	17	-0.77	tumour suppressor
1	212537273	212588243	-1	q32.3	ENSG00000065600	TMEM206	Gain	1	0.22	0.21	0	0	HET	0.56		3.38	38	-0.24	1.08	23	-0.4	68	0.35	71	0.55	
6	84262599	84419410	-1	q14.2	ENSG00000065609	SNAP91	Neutral	0	0.01	0.02	0	0	HET	0.5		0.16	64	0.32	-4.33	73	0.65	77	0.94	29	-0.49	
10	105726959	105788991	1	q24.33	ENSG00000065613	SLK	Neutral	0	0.02	0	0	0	HET	0.55		11.08	64	0.28	-1.9	45	-0.09	22	-0.53	46	-0.17	
6	84569362	84670146	1	q14.2	ENSG00000065615	CYB5R4	Neutral	0	0.01	0.02	0	0	HET	0.43		5.77	49	-0.04	-1.51	44	-0.1	42	-0.11	96	1.26	
10	105791044	105845760	-1	q25.1	ENSG00000065618	COL17A1	Neutral	0	0.02	0.01	0	0	HET	0.51		0.23	83	1.27	-1.57	41	-0.05	39	-0.05	54	0.12	
10	106028631	106059616	1	q25.1	ENSG00000065621	GSTO2	Neutral	0	0.02	0.06	0	0	HET	0.44		0.96	88	3.02	1.1	28	-0.43	11	-0.71	4	-0.67	
10	12171636	12211960	1	p14	ENSG00000065665	SEC61A2	Neutral	0	0.01	0.03	0	0	HET	0.47		4.5	90	1.43	1.19	81	0.99	99	3.16	96	2.31	
10	6469105	6622263	-1	p14	ENSG00000065675	PRKCQ	Neutral	0	0.01	0.01	0	0	HET	0.52		0.35	58	0.1	-6.02	30	-0.27	18	-0.29	0	-0.88	
19	2997636	3047633	-1	p13.3	ENSG00000065717	TLE2	Neutral	0	0.02	0.01	0	0	HET	0.51		15.19	63	0.24	1.41	77	0.75	60	0.2	33	-0.17	
2	239335383	239360891	1	q37.3	ENSG00000065802	ASB1	Neutral	0	0.01	0.01	0	0	HET	0.54		4.73	70	0.43	-1.05	81	0.86	72	0.42	67	0.4	
10	14560556	14816896	-1	p13	ENSG00000065809	FAM107B	Neutral	0	0.01	0.01	0	0	HET	0.5		9.33	48	-0.02	-1.9	31	-0.3	13	-0.65	8	-0.87	
6	83920108	84140797	-1	q14.2	ENSG00000065833	ME1	Neutral	0	0.01	0	0	0	HET	0.51		9.37	80	0.81	-1.66	79	0.93	77	0.78	100	3.59	
4	37892708	38140796	1	p14	ENSG00000065882	TBC1D1	Neutral	0	0.01	0.02	0	0	HET	0.53		26.46	75	0.64	1.76	95	1.96	75	0.83	33	-0.31	
7	39989636	40136733	1	p14.1	ENSG00000065883	CDK13	Neutral	0	0.01	0	0	0	HET	0.5		6.82	85	0.94	-1.1	66	0.31	83	0.74	96	1.15	
2	74425689	74444692	1	p13.1	ENSG00000065911	MTHFD2	Neutral	0	0.02	-0.03	0	0	HET	0.49		8.9	5	-0.68	-1.68	17	-0.58	45	-0.11	42	-0.34	
X	46464753	46618490	-1	p11.23	ENSG00000065923	SLC9A7	Neutral	0	0.02	0.02	0	0	HET	0.53		0.45	49	-0.01	-1.95	15	-0.52	20	-0.43	83	0.75	
12	8185299	8208099	1	p13.31	ENSG00000065970	FOXJ2	Neutral	0	0.01	0.03	0	0	HET	0.53		8.84	63	0.25	1.06	86	0.95	84	0.83	38	-0.44	
1	43148098	43168020	1	p34.2	ENSG00000065978	YBX1	Neutral	0	0.02	0	0	0	HET	0.51		155.99	8	-0.83	-1.32	17	-0.52	16	-0.74	0	-1.94	putative oncogene
19	10527449	10580305	1	p13.2	ENSG00000065989	PDE4A	Neutral	0	0.02	0.04	0	0	HET	0.51		4.06	43	-0.15	1.03	58	0.16	50	0.01	54	0.1	
1	212458782	212535200	1	q32.3	ENSG00000066027	PPP2R5A	Gain	1	0.22	0.22	0	0	HET	0.56		21.9	83	1.42	-1.2	58	0.17	34	-0.33	71	0.42	putative tumour suppressor
